Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 12568603
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 18538071
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 24429996
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 26002479
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 27797843
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 30374951
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 30999941
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 32188748
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 32344999
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 33662891
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 34826996
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 36035425
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 37008914
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 37946419
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 39430471
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 39898967
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 40680269
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 41718633
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 42871219
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 44595591
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 46314383
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 47794092
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 49437059
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 51154554
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 51515118
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 52575858
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 58520081
