Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 6494605
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 10007110
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 15561042
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 17202217
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 18593192
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 20174320
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 21505270
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 23961159
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 終了する, 103129333
