Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 6924911
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 10192262
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 12268717
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 13744772
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 15165773
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 16501724
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 19819088
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 購入を続ける, 155650425
