Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 6169432
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 9697094
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 12158858
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 14600583
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 16261754
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 17632737
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 20464759
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 終了する, 91129278
