Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 7755506
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 11077866
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 12799099
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 14590362
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 17412381
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 18833381
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 20154324
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 21625356
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 24877685
