Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 7014975
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 10007115
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 11618250
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 13249400
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 14810514
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 17792632
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 19363749
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 20694699
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 22974197
