Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 6744708
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 14370108
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 15841148
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 17342210
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 18823262
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 21545205
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 購入を続ける, 78481719
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 87761543
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 90048123
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 91824280
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 93246526
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 98970033
