Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 5874173
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 9466735
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 11007825
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 13909873
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 15561056
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 16881980
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 18202914
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 19864113
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 22175760
