Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 5623986
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 8916330
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 10867707
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 12588944
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 13849835
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 15320885
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 16661838
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 18082843
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 19483847
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 20910875
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 22381650
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 23892733
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 25362756
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 28157581
