Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 8796259
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 11428124
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 12829101
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 15090698
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 17932731
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 19483843
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 20914873
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 22956300
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 26308682
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 27809749
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 29360855
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 30861922
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 34584553
