Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 1621277
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 50, 11494339
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 50, 12568920
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 16284143
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 17244219
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 17604232
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 18974618
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 23108852
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 終了する, 108370380
