Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 8245859
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 11568219
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 13439558
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 14840493
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 16403001
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 19319801
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 20608969
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 22262330
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 23669064
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 25375558
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 26156878
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 27093067
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 28655581
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 32560952
