Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 6620102
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 10375969
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 11949082
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 13533690
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 16468153
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 18163418
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 21477969
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 78586758
