Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 6412336
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 13286386
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 14692667
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 15786423
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 16952258
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 19688930
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 購入を続ける, 161567234
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 169061738
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 173594521
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 購入を続ける, 259219571
