Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 7375249
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 16351627
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 17742629
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 19083568
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 21079345
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 22485602
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 23929015
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 26811058
