Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 6294473
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 12518909
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 13919904
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 15230831
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 18493144
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 購入を続ける, 78022316
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 83642197
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 87121475
