Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 5944223
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 12759060
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 14177009
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 15463322
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 19209597
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 購入を続ける, 74424257
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 334375332
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 購入を続ける, 395164891
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 407095078
