Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 5483901
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 8486034
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 10027115
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 11448125
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 12939203
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 16832286
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 18470625
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 19982412
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 21543106
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 22809763
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 24216021
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 1000, 25778553
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 28666190
