Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 4890000
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 9240000
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 10520000
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 12830000
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 14040000
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 15150000
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 17830000
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 購入を続ける, 57340000
