Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 6480648
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 9260926
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 10601060
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 500, 12541254
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 14791479
helloworld.formEnd, Text: 購入結果, System.Windows.Forms.Button, Text: 購入を続ける, 54395439
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 10, 79807980
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 10, 81248124
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 83978397
