Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 5230523
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 9200920
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 10621062
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 11991199
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 13891389
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 15501550
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 17021702
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 100, 18461846
helloworld.insertMoney, Text: お金を入れる, System.Windows.Forms.Button, Text: 食券を選ぶ, 21622162
